GLFW_KEY_UNKNOWN,-1
GLFW_KEY_SPACE,32
GLFW_KEY_SPECIAL,256
GLFW_KEY_ESC,=256+1
GLFW_KEY_F1,=256+2
GLFW_KEY_F2,=256+3
GLFW_KEY_F3,=256+4
GLFW_KEY_F4,=256+5
GLFW_KEY_F5,=256+6
GLFW_KEY_F6,=256+7
GLFW_KEY_F7,=256+8
GLFW_KEY_F8,=256+9
GLFW_KEY_F9,=256+10
GLFW_KEY_F10,=256+11
GLFW_KEY_F11,=256+12
GLFW_KEY_F12,=256+13
GLFW_KEY_F13,=256+14
GLFW_KEY_F14,=256+15
GLFW_KEY_F15,=256+16
GLFW_KEY_F16,=256+17
GLFW_KEY_F17,=256+18
GLFW_KEY_F18,=256+19
GLFW_KEY_F19,=256+20
GLFW_KEY_F20,=256+21
GLFW_KEY_F21,=256+22
GLFW_KEY_F22,=256+23
GLFW_KEY_F23,=256+24
GLFW_KEY_F24,=256+25
GLFW_KEY_F25,=256+26
GLFW_KEY_UP,=256+27
GLFW_KEY_DOWN,=256+28
GLFW_KEY_LEFT,=256+29
GLFW_KEY_RIGHT,=256+30
GLFW_KEY_LSHIFT,=256+31
GLFW_KEY_RSHIFT,=256+32
GLFW_KEY_LCTRL,=256+33
GLFW_KEY_RCTRL,=256+34
GLFW_KEY_LALT,=256+35
GLFW_KEY_RALT,=256+36
GLFW_KEY_TAB,=256+37
GLFW_KEY_ENTER,=256+38
GLFW_KEY_BACKSPACE,=256+39
GLFW_KEY_INSERT,=256+40
GLFW_KEY_DEL,=256+41
GLFW_KEY_PAGEUP,=256+42
GLFW_KEY_PAGEDOWN,=256+43
GLFW_KEY_HOME,=256+44
GLFW_KEY_END,=256+45
GLFW_KEY_KP_0,=256+46
GLFW_KEY_KP_1,=256+47
GLFW_KEY_KP_2,=256+48
GLFW_KEY_KP_3,=256+49
GLFW_KEY_KP_4,=256+50
GLFW_KEY_KP_5,=256+51
GLFW_KEY_KP_6,=256+52
GLFW_KEY_KP_7,=256+53
GLFW_KEY_KP_8,=256+54
GLFW_KEY_KP_9,=256+55
GLFW_KEY_KP_DIVIDE,=256+56
GLFW_KEY_KP_MULTIPLY,=256+57
GLFW_KEY_KP_SUBTRACT,=256+58
GLFW_KEY_KP_ADD,=256+59
GLFW_KEY_KP_DECIMAL,=256+60
GLFW_KEY_KP_EQUAL,=256+61
GLFW_KEY_KP_ENTER,=256+62
GLFW_KEY_KP_NUM_LOCK,=256+63
GLFW_KEY_CAPS_LOCK,=256+64
GLFW_KEY_SCROLL_LOCK,=256+65
GLFW_KEY_PAUSE,=256+66
GLFW_KEY_LSUPER,=256+67
GLFW_KEY_RSUPER,=256+68
GLFW_KEY_MENU,=256+69
